bhk,propertytype,location,sqft,pricepersqft,totalprice
3,Flat,Ahmedabad,2368,12500,18000000
3,Flat,Ahmedabad,1350,6500,20000000
4,Flat,Ahmedabad,1382,5733,13300000
4,Flat,Ahmedabad,2396,4000,27200000
4,Flat,Ahmedabad,1760,4000,40000000
4,Flat,Ahmedabad,3240,4410,35100000
4,Flat,Ahmedabad,2237,4888,35800000
3,Flat,Ahmedabad,1065,6199,11100000
3,Flat,Ahmedabad,968,9500,7000000
3,Flat,Ahmedabad,836,9400,6900000
3,Flat,Ahmedabad,861,12698,8000000
3,Flat,Ahmedabad,886,4800,7100000
3,Flat,Ahmedabad,1178,3900,10400000
4,Flat,Ahmedabad,2065,4830,23000000
4,Flat,Ahmedabad,3625,4667,62600000
4,Flat,Ahmedabad,2350,5527,42300000
5,Villa,Ahmedabad,6300,8642,80000000
3,Flat,Ahmedabad,968,5800,8450000
3,Flat,Ahmedabad,968,4878,6830000
3,Flat,Ahmedabad,1035,5111,10800000
3,Flat,Ahmedabad,1760,4700,8500000
3,Flat,Ahmedabad,1413,5002,12700000
3,Flat,Ahmedabad,1066,5050,10700000
3,Flat,Ahmedabad,1316,7200,17500000
3,Flat,Ahmedabad,1936,5971,11200000
2,Flat,Ahmedabad,647,4000,6000000
4,Flat,Ahmedabad,2034,4608,20500000
4,Flat,Ahmedabad,1830,7250,15600000
3,Flat,Ahmedabad,1411,10600,12800000
3,Flat,Ahmedabad,1150,8911,8890000
4,Flat,Ahmedabad,2100,6015,27400000
4,Flat,Ahmedabad,1382,9000,15000000
3,Flat,Ahmedabad,968,6200,7040000
2,Flat,Ahmedabad,610,21368,5000000
4,Flat,Ahmedabad,6315,8450,45700000
4,Flat,Ahmedabad,5750,5804,60900000
4,Flat,Ahmedabad,2475,11852,40100000
4,Flat,Ahmedabad,3829,4463,42500000
4,Flat,Ahmedabad,2350,8632,40500000
4,Flat,Ahmedabad,3829,5419,43800000
4,House,Ahmedabad,1521,5223,32500000
3,Flat,Ahmedabad,1946,3319,23500000
4,Flat,Ahmedabad,1810,4878,19100000
5,Villa,Ahmedabad,3150,21064,40000000
2,Flat,Ahmedabad,1210,3167,5400000
1,Flat,Ahmedabad,585,3909,5050000
3,Flat,Ahmedabad,968,4238,8400000
2,Flat,Ahmedabad,1053,10795,5500000
4,Villa,Ahmedabad,4158,5500,13799999
3,Flat,Ahmedabad,1435,3819,7000000
2,Villa,Ahmedabad,5814,11250,40000000
3,Flat,Ahmedabad,2148,4656,11399999
2,Flat,Ahmedabad,972,13333,3800000
3,Flat,Ahmedabad,1510,6236,6400000
4,Flat,Ahmedabad,3080,4500,47500000
3,Flat,Ahmedabad,1197,10778,11000000
5,Flat,Ahmedabad,3849,4850,21000000
3,Flat,Ahmedabad,560,4560,9000000
3,Flat,Ahmedabad,1232,4634,8200000
3,House,Ahmedabad,3150,9359,60000000
4,House,Ahmedabad,1515,5222,13500000
3,Flat,Ahmedabad,1178,5902,9640000
3,House,Ahmedabad,900,2910,9700000
3,Flat,Ahmedabad,935,9855,8370000
3,Flat,Ahmedabad,1300,4828,10400000
3,Flat,Ahmedabad,1435,7114,9500000
4,Flat,Ahmedabad,2200,6500,36500000
4,Flat,Ahmedabad,2133,4650,20200000
4,Flat,Ahmedabad,3829,4600,41700000
3,Villa,Ahmedabad,1890,4667,5500000
3,Flat,Ahmedabad,1118,5358,11800000
3,Flat,Ahmedabad,1450,8500,7000000
4,Flat,Ahmedabad,1500,2696,17500000
5,Flat,Ahmedabad,3850,10000,45500000
4,Flat,Ahmedabad,2035,3722,17200000
3,Flat,Ahmedabad,1100,5102,8970000
3,Flat,Ahmedabad,990,4490,8400000
3,Flat,Ahmedabad,1260,4705,12500000
5,Flat,Ahmedabad,4420,7318,66500000
2,Flat,Ahmedabad,805,6160,3100000
3,Flat,Ahmedabad,600,4350,6000000
3,Flat,Ahmedabad,990,4754,6870000
4,Flat,Ahmedabad,2124,3715,19600000
2,Flat,Ahmedabad,857,4274,5500000
3,Villa,Ahmedabad,1800,8698,27500000
2,Flat,Ahmedabad,999,5806,4700000
4,Villa,Ahmedabad,3195,6570,35800000
4,Flat,Ahmedabad,2589,9863,27500000
2,Flat,Ahmedabad,700,7914,5480000
3,Flat,Ahmedabad,1000,7207,8200000
3,Flat,Ahmedabad,1106,6692,6850000
2,Flat,Ahmedabad,737,6667,4500000
3,Flat,Ahmedabad,1435,5595,17800000
3,Flat,Ahmedabad,1085,4569,9000000
2,Flat,Ahmedabad,724,7111,6800000
4,Flat,Ahmedabad,3650,7386,36000000
4,Flat,Ahmedabad,2780,7799,22000000
2,Flat,Ahmedabad,777,4422,8000000
2,Flat,Ahmedabad,900,6222,8700000
3,Flat,Ahmedabad,1260,4384,12000000
2,Flat,Ahmedabad,1269,19897,7100000
3,Flat,Ahmedabad,1217,7259,10500000
2,House,Ahmedabad,1575,4740,16000000
3,Flat,Ahmedabad,1600,5242,19500000
2,Flat,Ahmedabad,1323,4571,4100000
2,Flat,Ahmedabad,577,6532,4500000
3,Flat,Ahmedabad,808,5843,6500000
3,Flat,Ahmedabad,2250,5983,14000000
1,Flat,Ahmedabad,580,11111,3550000
4,House,Ahmedabad,1935,4884,38500000
4,Flat,Ahmedabad,2200,4654,19600000
2,Flat,Ahmedabad,749,10278,3550000
3,Flat,Ahmedabad,963,8833,9200000
3,Flat,Ahmedabad,968,6250,8000000
2,Flat,Ahmedabad,696,5276,4500000
3,Flat,Ahmedabad,850,4831,7800000
2,Flat,Ahmedabad,819,5773,7000000
3,Flat,Ahmedabad,2340,8667,26000000
2,Flat,Ahmedabad,573,6119,4000000
2,Flat,Ahmedabad,850,5183,5660000
3,Flat,Ahmedabad,1260,8725,18500000
3,Villa,Ahmedabad,2100,6231,26500000
2,Flat,Ahmedabad,900,4643,7500000
3,Flat,Ahmedabad,1393,5429,10500000
2,Flat,Ahmedabad,850,26000,5000000
4,Flat,Ahmedabad,1908,4861,19000000
4,Villa,Ahmedabad,1575,3493,19500000
2,Flat,Ahmedabad,466,17962,4100000
3,Flat,Ahmedabad,1337,6186,9900000
4,Flat,Ahmedabad,3440,4509,30000000
2,Flat,Ahmedabad,674,3276,6000000
1,Flat,Ahmedabad,422,5972,2800000
3,Flat,Ahmedabad,912,7708,9500000
5,House,Ahmedabad,3420,3955,88900000
3,Flat,Ahmedabad,1503,4659,5500000
1,Flat,Ahmedabad,486,6453,3500000
3,Flat,Ahmedabad,774,4699,4900000
4,Villa,Ahmedabad,3735,6209,33500000
3,Flat,Ahmedabad,750,7182,9000000
2,Flat,Ahmedabad,819,6486,5280000
2,Flat,Ahmedabad,840,7018,4600000
3,Flat,Ahmedabad,2043,5369,12200000
3,Flat,Ahmedabad,839,4545,11000000
2,Flat,Ahmedabad,810,3333,4200000
2,Flat,Ahmedabad,976,14198,6500000
3,Flat,Ahmedabad,1431,4598,12500000
3,House,Ahmedabad,1266,4516,8500000
2,Flat,Ahmedabad,1530,4682,9500000
3,Flat,Ahmedabad,1267,4598,13000000
4,Flat,Ahmedabad,2590,7764,24000000
3,Flat,Ahmedabad,1710,3846,12000000
2,Flat,Ahmedabad,938,4924,7200000
2,Flat,Ahmedabad,770,4476,5000000
2,Flat,Ahmedabad,882,5455,4200000
4,Villa,Ahmedabad,1134,18519,23000000
2,Flat,Ahmedabad,913,7692,6000000
2,Flat,Ahmedabad,1085,5903,4900000
2,Flat,Ahmedabad,1001,13620,6700000
2,Flat,Ahmedabad,1305,4996,6000000
4,Flat,Ahmedabad,2340,12876,10900000
5,Flat,Ahmedabad,2638,4444,17500000
2,Flat,Ahmedabad,670,15432,3300000
2,Flat,Ahmedabad,735,4667,4700000
3,Flat,Ahmedabad,1155,17361,9000000
3,Villa,Ahmedabad,567,8333,15000000
4,Villa,Ahmedabad,4095,6015,45000000
2,Flat,Ahmedabad,907,21000,7650000
4,Villa,Ahmedabad,1953,20417,38000000
2,Flat,Ahmedabad,812,7736,5800000
3,Flat,Ahmedabad,1304,4690,24000000
2,Flat,Ahmedabad,693,7392,4400000
3,House,Ahmedabad,1134,7525,25000000
3,Flat,Ahmedabad,1050,3968,7000000
5,House,Ahmedabad,2016,6250,50000000
3,Flat,Ahmedabad,546,4575,6500000
3,Flat,Ahmedabad,1330,3949,8000000
4,Villa,Ahmedabad,1750,9833,52500000
4,House,Ahmedabad,1680,9790,49000000
4,Flat,Ahmedabad,2456,7566,19000000
2,Flat,Ahmedabad,618,3417,6500000
4,Flat,Ahmedabad,2005,14800,26500000
3,Flat,Ahmedabad,1935,3767,17000000
1,Flat,Ahmedabad,441,5091,2500000
3,Flat,Ahmedabad,1044,5000,7500000
1,Flat,Ahmedabad,648,4853,3500000
3,Flat,Ahmedabad,1899,3700,7500000
3,Flat,Ahmedabad,1980,13727,30000000
3,House,Ahmedabad,1430,4291,20000000
2,House,Ahmedabad,990,6099,7490000
2,House,Amritsar,1080,6410,9000000
2,Flat,Amritsar,1039,4773,6200000
2,House,Amritsar,1503,4990,7500000
2,House,Amritsar,1125,3378,3800000
3,House,Amritsar,1100,5455,6000000
3,Villa,Amritsar,900,7778,7000000
2,House,Amritsar,1080,3056,3850000
3,House,Amritsar,77,7504,5200000
2,Flat,Amritsar,750,1875,1500000
2,House,Amritsar,680,3088,2100000
3,House,Amritsar,750,5333,4000000
2,House,Amritsar,1000,2167,2600000
2,House,Amritsar,86,3795,2000000
2,House,Amritsar,167,4000,7600000
3,House,Amritsar,1400,3571,5600000
2,House,Amritsar,630,2933,2500000
2,Flat,Amritsar,1500,4412,4400000
3,House,Amritsar,1700,6166,7500000
3,House,Amritsar,892,3200,5500000
3,House,Amritsar,2500,3000,8000000
3,Flat,Amritsar,1500,11667,4500000
3,House,Amritsar,3000,3111,35000000
3,House,Amritsar,1350,2058,4200000
3,House,Amritsar,1944,2200,4000000
2,House,Amritsar,1500,32895,3300000
2,House,Amritsar,152,63830,5000000
2,House,Amritsar,235,2727,15000000
2,Flat,Amritsar,1650,5000,4500000
2,House,Amritsar,800,5111,4000000
3,House,Amritsar,900,3360,4600000
3,House,Amritsar,1250,5556,4200000
3,House,Amritsar,900,2143,6500000
3,House,Amritsar,1350,10000,7500000
2,Flat,Amritsar,700,2700,1500000
2,House,Amritsar,1500,3561,18000000
3,House,Amritsar,1404,6500,5000000
3,House,Amritsar,450,3306,2500000
3,House,Amritsar,800,2370,6500000
2,House,Amritsar,675,3348,1600000
3,House,Amritsar,612,1852,250000
3,House,Amritsar,1404,5500,4700000
3,House,Amritsar,850,3205,2000000
3,House,Amritsar,1000,2222,5500000
2,House,Amritsar,468,5417,1500000
3,House,Amritsar,1800,2222,4000000
3,House,Amritsar,1200,3500,6500000
3,Villa,Amritsar,1080,4819,2400000
3,House,Amritsar,1000,4444,3500000
3,House,Amritsar,1614,5854,8500000
2,House,Amritsar,900,2963,4000000
3,House,Amritsar,1030,7500,6000000
3,House,Amritsar,945,2600,2800000
3,House,Amritsar,2200,2756,15000000
2,House,Amritsar,56,6122,800000
2,House,Amritsar,1000,8148,2600000
2,House,Amritsar,1125,3278,3100000
2,House,Amritsar,1350,8272,11000000
2,Villa,Amritsar,900,3205,2950000
3,House,Amritsar,2100,3457,6500000
3,House,Amritsar,1088,4643,9000000
2,House,Amritsar,468,2963,1500000
2,House,Amritsar,810,4314,2800000
2,Villa,Amritsar,3015,4577,14000000
2,House,Amritsar,1350,80000,4000000
3,Flat,Amritsar,2086,2755,9000000
3,House,Amritsar,1420,2000,6500000
2,House,Amritsar,50,2614,4000000
3,House,Amritsar,2500,3211,5000000
2,House,Amritsar,1836,3211,4800000
3,House,Amritsar,1600,3119,7000000
3,House,Amritsar,2180,1889,7000000
2,House,Amritsar,513,3585,1600000
2,House,Amritsar,700,2284,1700000
3,House,Amritsar,450,6000,2500000
3,House,Amritsar,3487,2222,12500000
3,House,Amritsar,1620,13274,3700000
3,House,Amritsar,2500,3429,60000000
3,House,Amritsar,1800,2778,4000000
2,House,Amritsar,565,333,7500000
2,House,Amritsar,700,3074,2400000
2,House,Amritsar,900,6667,2500000
3,House,Amritsar,137,1370,9500000
3,House,Amritsar,22500,2253,7500000
2,House,Amritsar,927,1944,2850000
2,House,Amritsar,1500,526316,10000000
3,House,Amritsar,1350,4634,1850000
2,House,Amritsar,1132,2828,2550000
3,House,Amritsar,1800,3077,3500000
3,House,Amritsar,765,2976,450000000
3,House,Amritsar,410,2143,1900000
3,House,Amritsar,990,5556,2800000
3,Flat,Amritsar,1300,5662,4000000
3,House,Amritsar,1512,1587,4500000
3,Villa,Amritsar,2700,2667,14000000
3,House,Amritsar,288,71429,1600000
2,House,Amritsar,936,7692,5300000
3,House,Amritsar,630,2650,1000000
3,House,Amritsar,4275,2160,8700000
2,House,Amritsar,1125,2830,3000000
3,House,Amritsar,32,1778,3000000
3,House,Amritsar,585,2176,4500000
2,House,Amritsar,115,2841,2000000
2,House,Amritsar,1887,9507,5000000
3,House,Amritsar,1250,2471,2700000
3,House,Amritsar,990,3000,2700000
2,House,Amritsar,900,3032,1600000
2,Flat,Amritsar,1700,5051,3700000
2,House,Amritsar,1584,60000,4500000
3,Villa,Amritsar,1035,7788,9840000
2,House,Amritsar,850,5455,2100000
2,House,Amritsar,1000,4167,3000000
3,Flat,Amritsar,1550,2444,4700000
3,House,Amritsar,495,867,2500000
3,House,Amritsar,270,210,15000000
3,House,Amritsar,963,1698,7500000
3,House,Amritsar,1000,955,3000000
2,House,Amritsar,720,1071,3000000
2,House,Amritsar,450,882,1100000
3,House,Amritsar,900,963,780000
3,House,Amritsar,667,3670,140000
3,House,Amritsar,1296,8333,2200000
2,House,Amritsar,576,2222,550000
2,House,Amritsar,1400,3889,1500000
3,House,Amritsar,1701,4028,1500000
2,House,Amritsar,1350,2045,1300000
2,House,Amritsar,1226,3333,4500000
2,House,Amritsar,1062,9700,3900000
3,House,Amritsar,600,8503,5000000
3,House,Amritsar,1260,4853,2800000
2,House,Amritsar,3600,1646,14000000
2,House,Amritsar,3600,2750,14500000
3,Villa,Amritsar,2200,3474,4500000
2,House,Amritsar,450,3552,1500000
2,House,Amritsar,294,2874,2500000
3,House,Amritsar,783,5854,3800000
3,House,Amritsar,1215,2000,2000000
3,House,Amritsar,1256,5142,2800000
3,House,Amritsar,1256,1690,2300000
3,House,Amritsar,1256,45509,9300000
3,House,Amritsar,1256,5556,1470000
2,House,Amritsar,1256,408,1800000
2,House,Amritsar,1256,3095,5000000
3,House,Amritsar,1256,3672,2250000
3,House,Amritsar,1256,5556,980000
2,House,Amritsar,1256,2035,1750000
2,Flat,Bangalore,1254,8530,10600000
3,Flat,Bangalore,2582,16756,61800000
3,Flat,Bangalore,2084,9985,20800000
2,Flat,Bangalore,1241,9205,11399999
4,Flat,Bangalore,2120,12382,26200000
3,Flat,Bangalore,1933,6300,12100000
2,Flat,Bangalore,1194,11725,14000000
3,Flat,Bangalore,1480,9459,14000000
4,Flat,Bangalore,2697,10753,29000000
2,Flat,Bangalore,875,9642,8440000
2,Flat,Bangalore,1270,11300,14300000
3,Flat,Bangalore,1563,5599,8750000
3,Flat,Bangalore,1666,11946,19900000
3,Flat,Bangalore,1402,8034,11200000
3,Flat,Bangalore,2315,16508,38200000
3,Flat,Bangalore,2112,10134,21400000
3,Flat,Bangalore,645,9118,9230000
3,Flat,Bangalore,1243,9299,11500000
3,Flat,Bangalore,1074,9330,14900000
3,Flat,Bangalore,1575,10687,16800000
4,Flat,Bangalore,2157,12301,26500000
3,Flat,Bangalore,1427,15207,21700000
3,Flat,Bangalore,2409,12204,29400000
3,Flat,Bangalore,1570,8301,13000000
3,Villa,Bangalore,3000,25395,90000000
2,Flat,Bangalore,971,8384,8140000
3,Flat,Bangalore,1494,9973,14900000
3,Flat,Bangalore,1676,13993,34700000
5,Flat,Bangalore,3582,13993,83200000
3,Flat,Bangalore,2084,10511,21900000
4,Flat,Bangalore,2350,22050,71900000
3,Flat,Bangalore,1461,16222,23700000
4,Villa,Bangalore,3490,14069,49100000
3,Flat,Bangalore,1842,14385,26400000
3,Flat,Bangalore,1842,14385,26400000
3,Flat,Bangalore,1850,10801,19900000
4,Flat,Bangalore,2211,13704,48500000
3,Flat,Bangalore,1074,9330,14900000
4,Flat,Bangalore,4044,15843,64000000
3,Flat,Bangalore,1644,7263,11900000
4,Flat,Bangalore,2094,7999,16700000
4,Flat,Bangalore,2512,12301,30900000
3,Flat,Bangalore,1613,14468,23300000
3,Flat,Bangalore,1613,14468,23300000
3,Flat,Bangalore,1595,9913,15800000
5,Flat,Bangalore,6000,11667,70000000
4,Flat,Bangalore,2157,12301,26500000
2,Flat,Bangalore,857,17503,15000000
3,Flat,Bangalore,2084,10511,21900000
3,Flat,Bangalore,3600,19619,70600000
4,Flat,Bangalore,2168,11239,24300000
4,Flat,Bangalore,1860,13903,36800000
4,Villa,Bangalore,3260,17453,56800000
3,Flat,Bangalore,1150,9245,17300000
3,Flat,Bangalore,2170,9834,21300000
2,Flat,Bangalore,865,9491,8209999
3,Flat,Bangalore,1242,8099,10000000
5,Flat,Bangalore,6000,11667,70000000
3,Flat,Bangalore,1660,11946,19800000
3,Flat,Bangalore,1885,14468,27200000
5,Flat,Bangalore,6000,11667,70000000
2,Flat,Bangalore,883,10249,9050000
3,Flat,Bangalore,1676,13993,34700000
4,Flat,Bangalore,2421,14200,34300000
4,Flat,Bangalore,1759,17965,31600000
3,Flat,Bangalore,2375,22526,53500000
4,Flat,Bangalore,1759,17965,31600000
3,Flat,Bangalore,1509,11905,17900000
3,Flat,Bangalore,1539,8690,13300000
4,Villa,Bangalore,6000,23047,138200000
3,Flat,Bangalore,2186,11592,25299999
3,Flat,Bangalore,1074,9330,14900000
3,Flat,Bangalore,1850,7500,13799999
3,Flat,Bangalore,1389,7842,10800000
5,Flat,Bangalore,8900,19619,174600000
3,Flat,Bangalore,1906,9202,17500000
3,Flat,Bangalore,1150,9245,17300000
4,Flat,Bangalore,2813,13797,38800000
2,Flat,Bangalore,1205,9100,10900000
3,Flat,Bangalore,1462,8557,12500000
3,Flat,Bangalore,1554,10846,16800000
3,Flat,Bangalore,2172,9834,21300000
3,Flat,Bangalore,1870,12966,24200000
4,Flat,Bangalore,2471,14200,35000000
3,Flat,Bangalore,1427,9460,13500000
3,Flat,Bangalore,2017,10462,21100000
3,Flat,Bangalore,1427,15207,21700000
2,Flat,Bangalore,1191,14046,16700000
3,Flat,Bangalore,1998,11592,23100000
3,Flat,Bangalore,1074,9330,14900000
4,Flat,Bangalore,1759,17965,31600000
4,Flat,Bangalore,1860,13903,36800000
3,Flat,Bangalore,1785,14157,25200000
4,Flat,Bangalore,2145,9966,21300000
4,Flat,Bangalore,2218,11484,40800000
3,Flat,Bangalore,1862,8935,16600000
4,Flat,Bangalore,1759,17965,31600000
3,Flat,Bangalore,2004,14200,28400000
3,Flat,Bangalore,1759,7800,13700000
3,Flat,Bangalore,1785,11240,20000000
4,Flat,Bangalore,2662,11905,31600000
4,Flat,Bangalore,2553,10650,27100000
4,Flat,Bangalore,2670,28015,74800000
4,Flat,Bangalore,3740,13138,49100000
4,Villa,Bangalore,2640,12273,40500000
3,Flat,Bangalore,1075,9358,15300000
4,Villa,Bangalore,3899,10207,39700000
2,Flat,Bangalore,1447,12301,17800000
4,Flat,Bangalore,1474,11849,28000000
3,Flat,Bangalore,1470,9867,14500000
5,Villa,Bangalore,4235,11806,50000000
3,Flat,Bangalore,1931,17026,32799999
4,Flat,Bangalore,2662,11592,30800000
3,Flat,Bangalore,1334,8640,11500000
4,Villa,Bangalore,3261,8648,28200000
3,Flat,Bangalore,1575,12825,20200000
2,Flat,Bangalore,1312,9854,12900000
2,Flat,Bangalore,1644,9489,15600000
2,Flat,Bangalore,1131,8466,9570000
3,Flat,Bangalore,1485,8570,12700000
3,Flat,Bangalore,1447,9883,14300000
3,Flat,Bangalore,1785,10457,18600000
3,Flat,Bangalore,1750,11257,19700000
3,Flat,Bangalore,1661,9500,15700000
4,Villa,Bangalore,3205,8393,26900000
2,Flat,Bangalore,1143,8311,9500000
4,Flat,Bangalore,2730,13260,36200000
3,Flat,Bangalore,2188,11426,25000000
3,Flat,Bangalore,1705,13842,23600000
2,Flat,Bangalore,1354,9380,12700000
2,Flat,Bangalore,920,6577,6050000
4,Flat,Bangalore,2371,8984,21300000
2,Flat,Bangalore,1175,12348,14500000
3,Flat,Bangalore,1764,6973,12300000
2,Flat,Bangalore,933,7271,6780000
3,Flat,Bangalore,1616,6850,11000000
1,Flat,Bangalore,680,5515,3750000
3,Flat,Bangalore,1715,13178,22599999
3,Flat,Bangalore,1649,7779,12800000
3,Flat,Bangalore,1892,12278,23200000
3,Flat,Bangalore,1967,7299,14300000
2,Flat,Bangalore,1524,11028,16800000
3,Flat,Bangalore,1931,8027,15500000
3,Flat,Bangalore,1550,9488,14700000
3,Flat,Bangalore,1601,9300,14800000
3,Flat,Bangalore,1660,10155,16800000
3,Flat,Bangalore,1693,10142,17100000
3,Flat,Bangalore,1870,12966,24200000
2,Flat,Bangalore,1168,8733,10200000
3,Flat,Bangalore,1625,7385,12000000
4,House,Bangalore,3291,6752,22200000
2,Flat,Bangalore,1345,11291,15100000
3,Flat,Bangalore,1540,6500,10000000
3,Flat,Bangalore,2152,10688,23000000
3,Flat,Bangalore,1800,7000,12600000
3,Flat,Bangalore,1770,10600,18700000
4,House,Bangalore,3201,8654,27700000
3,Flat,Bangalore,1885,6800,12800000
2,Flat,Bangalore,1310,14122,18500000
3,Flat,Bangalore,1600,7841,12500000
3,Flat,Bangalore,1560,11235,17500000
2,Flat,Bangalore,1225,14000,17100000
3,Flat,Bangalore,1841,10000,18400000
3,Flat,Bangalore,1638,9615,15700000
2,Flat,Bangalore,1260,10184,12800000
3,Villa,Bangalore,2750,6727,18500000
3,Flat,Bangalore,2122,11576,24500000
4,Flat,Bangalore,2000,19068,45000000
2,Flat,Bangalore,1225,6999,8570000
3,Flat,Bangalore,1685,10355,17400000
3,Flat,Bangalore,1900,11250,22500000
3,Flat,Bangalore,1200,14040,17500000
4,Flat,Bangalore,2250,9467,21300000
2,Flat,Bangalore,1417,10001,14100000
3,Flat,Bangalore,1600,7841,12500000
1,Flat,Bangalore,767,10318,7909999
3,Flat,Bangalore,1916,6950,13300000
4,Flat,Bangalore,1645,20963,37000000
2,Flat,Bangalore,1125,6554,7370000
4,Flat,Bangalore,2481,13393,33200000
3,Flat,Bangalore,2500,16492,55000000
2,Flat,Bangalore,1155,11706,13500000
2,Flat,Bangalore,1025,10573,10800000
3,Flat,Bangalore,1599,11772,18800000
3,Flat,Bangalore,1890,16931,32000000
3,Flat,Bangalore,1891,8497,16000000
3,Villa,Bangalore,2000,10000,20000000
3,Flat,Bangalore,850,11183,15500000
3,Flat,Bangalore,1680,5450,9160000
3,Flat,Bangalore,1441,5694,8209999
3,Flat,Bangalore,1277,12000,21900000
3,Flat,Bangalore,1200,3776,5200000
4,Villa,Bangalore,2870,13763,39500000
